138,1,900925,SKI-TK. DERI PUTRA,TERM.TM.JAYA KP.TM.JAYA RT 3/2,KAB. SUKABUMI,43151,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
139,1,900928,SKI-TK. SARI MUTIARA,"JL. KEBON KOPI CIANJUR, CIANJU",CIANJUR,43275,SKI-RXLK01,EXP LUAR KOTA CIANJUR,301
140,1,900929,SKI-TK. SOBUR,"BLOK CI NO.98 PS.CIKALONG CJR,",CIANJUR,43291,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
141,1,900930,SKI-TK. KARYA TANI,JL. RY. UJUNG GENTENG SURADE,SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
142,1,900931,SKI-TK. SINAR SALUYU,JL. RY. UJUNG GENTENG SURADE,SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
143,1,900932,SKI-TK. SAMI-SAMI,JL. RY A YANI 270 SUKABUMI,SUKABUMI,43151,SKI-Z1CP01,SUKABUMI KOTA,200
144,1,900933,SKI-TK. DADANG,"PS. IMPRES NO.48, CIANJUR",CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
145,1,900935,SKI-TK. SAGU (IBU),JL.BHAYANGKARA GG.KARAKTERDES,SUKABUMI,43151,SKI-Z1CP01,SUKABUMI KOTA,200
146,1,900936,SKI-TK. BERKAH,JL. RY. UJUNG GENTENG SURADE,SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
147,1,900939,SKI-TK. MUKHTAR,JL.SURADE KP.GN.BATU DS.TALAGA,SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
148,1,900940,SKI-TK. AL-HIKMAH,JL. RY. UJUNG GENTENG SURADE,KAB. SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
149,1,900942,SKI-TK. ZAENAL,JL. CIKADU SAGARANTEN SUKABUMI,SUKABUMI,43181,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
150,1,900947,SKI-TK. JASA RAMA,JL. RY. UJUNG GENTENG SURADE,SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
151,1,900948,SKI-TK. GEMILANG,JL. SURYAKENCANA 67 SUKABUMI,SUKABUMI,43151,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
152,1,900953,SKI-TK. SUKAJADI,JL. MANGUN SARKORO NO.178 CJR,CIANJUR,43211,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
153,1,900955,SKI-TK. KERSA MANAH II,PSR CIRANJANG NO. 24 A CIANJUR,CIANJUR,43211,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
154,1,900959,SKI-TK. DASEP,"JL. PELABUHAN RATU - PASAPEN,",SUKABUMI,43364,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
155,1,900961,SKI-TK. JAYA PUTRA,JL. CIDAUN CIANJUR SELATAN,CIANJUR,43275,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
156,1,900964,SKI-TK. ANAS,JL. SELAJAMBE NO 2 TUNGTURUNA,CIANJUR,43284,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
157,1,900965,SKI-TK. NANI,JL. IR H JUANDA 4 CIANJUR,CIANJUR,43211,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
158,1,900967,SKI-PT.RAMAYANALESTARISENTOSA (R,"JL. DR. MUWARDI II CIANJUR, CI",CIANJUR,43211,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
159,1,900969,SKI-TK. AHLAN,JL. SURYAKENCANA 102 CISAAT SU,SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
